code,zone,name,active
A-01-01,A,Khu A · Kệ 01 · Tầng 01,1
A-01-02,A,Khu A · Kệ 01 · Tầng 02,1
A-01-03,A,Khu A · Kệ 01 · Tầng 03,1
A-01-04,A,Khu A · Kệ 01 · Tầng 04,1
A-02-01,A,Khu A · Kệ 02 · Tầng 01,1
A-02-02,A,Khu A · Kệ 02 · Tầng 02,1
A-02-03,A,Khu A · Kệ 02 · Tầng 03,1
A-02-04,A,Khu A · Kệ 02 · Tầng 04,1
A-03-01,A,Khu A · Kệ 03 · Tầng 01,1
A-03-02,A,Khu A · Kệ 03 · Tầng 02,1
A-03-03,A,Khu A · Kệ 03 · Tầng 03,1
A-03-04,A,Khu A · Kệ 03 · Tầng 04,1
A-04-01,A,Khu A · Kệ 04 · Tầng 01,1
A-04-02,A,Khu A · Kệ 04 · Tầng 02,1
A-04-03,A,Khu A · Kệ 04 · Tầng 03,1
A-04-04,A,Khu A · Kệ 04 · Tầng 04,1
A-05-01,A,Khu A · Kệ 05 · Tầng 01,1
A-05-02,A,Khu A · Kệ 05 · Tầng 02,1
A-05-03,A,Khu A · Kệ 05 · Tầng 03,1
A-05-04,A,Khu A · Kệ 05 · Tầng 04,1
A-06-01,A,Khu A · Kệ 06 · Tầng 01,1
A-06-02,A,Khu A · Kệ 06 · Tầng 02,1
A-06-03,A,Khu A · Kệ 06 · Tầng 03,1
A-06-04,A,Khu A · Kệ 06 · Tầng 04,1
B-01-01,B,Khu B · Kệ 01 · Tầng 01,1
B-01-02,B,Khu B · Kệ 01 · Tầng 02,1
B-01-03,B,Khu B · Kệ 01 · Tầng 03,1
B-01-04,B,Khu B · Kệ 01 · Tầng 04,1
B-02-01,B,Khu B · Kệ 02 · Tầng 01,1
B-02-02,B,Khu B · Kệ 02 · Tầng 02,1
B-02-03,B,Khu B · Kệ 02 · Tầng 03,1
B-02-04,B,Khu B · Kệ 02 · Tầng 04,1
B-03-01,B,Khu B · Kệ 03 · Tầng 01,1
B-03-02,B,Khu B · Kệ 03 · Tầng 02,1
B-03-03,B,Khu B · Kệ 03 · Tầng 03,1
B-03-04,B,Khu B · Kệ 03 · Tầng 04,1
B-04-01,B,Khu B · Kệ 04 · Tầng 01,1
B-04-02,B,Khu B · Kệ 04 · Tầng 02,1
B-04-03,B,Khu B · Kệ 04 · Tầng 03,1
B-04-04,B,Khu B · Kệ 04 · Tầng 04,1
B-05-01,B,Khu B · Kệ 05 · Tầng 01,1
B-05-02,B,Khu B · Kệ 05 · Tầng 02,1
B-05-03,B,Khu B · Kệ 05 · Tầng 03,1
B-05-04,B,Khu B · Kệ 05 · Tầng 04,1
B-06-01,B,Khu B · Kệ 06 · Tầng 01,1
B-06-02,B,Khu B · Kệ 06 · Tầng 02,1
B-06-03,B,Khu B · Kệ 06 · Tầng 03,1
B-06-04,B,Khu B · Kệ 06 · Tầng 04,1
C-01-01,C,Khu C · Kệ 01 · Tầng 01,1
C-01-02,C,Khu C · Kệ 01 · Tầng 02,1
C-01-03,C,Khu C · Kệ 01 · Tầng 03,1
C-01-04,C,Khu C · Kệ 01 · Tầng 04,1
C-02-01,C,Khu C · Kệ 02 · Tầng 01,1
C-02-02,C,Khu C · Kệ 02 · Tầng 02,1
C-02-03,C,Khu C · Kệ 02 · Tầng 03,1
C-02-04,C,Khu C · Kệ 02 · Tầng 04,1
C-03-01,C,Khu C · Kệ 03 · Tầng 01,1
C-03-02,C,Khu C · Kệ 03 · Tầng 02,1
C-03-03,C,Khu C · Kệ 03 · Tầng 03,1
C-03-04,C,Khu C · Kệ 03 · Tầng 04,1
C-04-01,C,Khu C · Kệ 04 · Tầng 01,1
C-04-02,C,Khu C · Kệ 04 · Tầng 02,1
C-04-03,C,Khu C · Kệ 04 · Tầng 03,1
C-04-04,C,Khu C · Kệ 04 · Tầng 04,1
C-05-01,C,Khu C · Kệ 05 · Tầng 01,1
C-05-02,C,Khu C · Kệ 05 · Tầng 02,1
C-05-03,C,Khu C · Kệ 05 · Tầng 03,0
C-05-04,C,Khu C · Kệ 05 · Tầng 04,1
C-06-01,C,Khu C · Kệ 06 · Tầng 01,1
C-06-02,C,Khu C · Kệ 06 · Tầng 02,1
C-06-03,C,Khu C · Kệ 06 · Tầng 03,1
C-06-04,C,Khu C · Kệ 06 · Tầng 04,0
A-01-11,A,Khu A · Kệ 01 · Tầng 11,1
A-09-09,A,Khu A · Kệ 09 · Tầng 09,1
B-01-07,B,Khu B · Kệ 01 · Tầng 07,0
